chunk_id,start,end,text,embedding_index
21,274.4,288.96,"puzzle online, which is pretty fun. So why do I do I start my talk by talking about 15 puzzle? It's  because it's really, I mean the way you solve the 15 puzzle tells you a lot about the area of",21
22,288.96,302.42,combinatorially configuration. So the standard way we would think about the 15 puzzle is by looking  at the state space or what we call the reconfiguration graph of the 15 puzzle. So what does that graph,22
23,302.42,316.78,"consist of? Well, we have one vertex or one node in this graph for each possible configuration of  the puzzle. So basically each possible configuration, so it would be a possible permutation of the 15",23
24,316.78,330.64,"numbers. In addition to where you're going to put the empty square, each one of those will be a vertex  and the graph. And now we connect two vertices in that graph whenever one can be reached from the",24
25,330.64,344.04,"other by a single move. And what do we mean here by a single mover? It's basically just moving  number into the empty square. So if you look at the top node here in this graph, there are four",25
26,344.04,357.56,"possibilities that you can do in one move, which we call a reconfiguration step, which is you can move  nine into the empty square, you can move three into the empty square, 12 or 15. And that gives us",26
27,357.56,369.76,"basically four neighbors of that vertex in the graph. Okay, and we call this whole graph, the  reconfiguration graph or the state space, if you're more comfortable thinking about states, the states",27
28,369.76,382.84,"of the game. So now given this graph, the reconfiguration graph, there are tons of very interesting  questions that you can ask about it. There are structural questions and there are algorithmic",28
29,382.84,397.36,"questions. And these are typically the types of questions that we're interested in in this area  of combinatorially configuration. So a couple of examples of structural questions would be, well,",29
30,397.36,411.42,"the simplest one would be how big is this reconfiguration graph? Right, how many vertices or how many  edges? And that's usually not a very hard question to answer in terms of upper and lower ones.",30
31,411.42,425.44,"More interestingly, you could ask, is this reconfiguration graph connected? Right, or is can I reach  any state starting from any other state by a sequence of legal moves? And as I told you before,",31
32,425.44,438.28,"for the 15 puzzle, the reconfiguration graph is definitely not connected because there was no way  to reverse 14 and 15 in the previous example that I showed you and you can easily prove that, by the way.",32
33,438.28,451.66,"So when it's not connected, another question would be how many components does I have?  Is there some sort of nice structure to the components of this graph? And then another question",33
34,451.66,467.94,"would be what is the diameter of the state configuration graph or of each one of its components? And  that's usually a very important question to ask when you're dealing with one player games,  because this could tell you like what would be the worst possible shortest path to reach a target",34
35,467.94,479.96,"configuration or to solve your game, to win your game, for example. And in the literature,  this is sometimes known as God's number, which would be the diameter of the reconfiguration graph.",35
36,479.96,494.54,"And these are all very interesting, very interesting structural questions to ask about this reconfiguration  graph. Now on the algorithmic side or the computational side, there's the obvious question of if I'm given",36
37,494.54,506.24,"a starting state and some ending state or target state, like in the case of the puzzle game,  that I am given some starting state and we know what the goal state is. So here one decision",37
38,506.24,518.22,problem would be to answer the question whether it's possible to get to the target state starting  from some initial state that is also given to me. So you can decide to solve this problem either as,38
39,518.22,531.98,"a decision problem or as a search problem, which would give you the actual sequence of steps that  will take you from a state to the target state. Other interesting computational problems",39
40,531.98,545.92,"is it always possible to go from one configuration to any other and this is basically also related  to the structural question about connected components. And the last question that I will mention,",40
41,545.92,567.7800000000001,"which is also interesting is how fast can you go from one configuration to another, meaning can you  do it in at most case steps? There is a question I should wait or no. All right.",41
42,567.7800000000001,583.48,So think about all of these questions that we paused using the simple 15 puzzle game. And now we're  going to look at a lot of other possible problems where the same configuration graph can be extracted,42
43,583.48,597.24,and we can ask the same set of questions. So all of you here are familiar with the case sad problem.  So you're given a Boolean formula and you want to know if you can satisfy this formula by assigning,43
44,597.24,609.14,"values to the variables and we know that this is NP complete for K greater than or equal to 3.  So now how can you transform this into a reconfiguration problem? Well, it's very simple. So now you're",44
45,609.14,623.82,given a formula and you're given two satisfying assignments. So you can think of those satisfying  assignments as bit vectors. And so now the question that you can ask is can I go from the first satisfying,45
46,623.82,639.26,assignment as the next one by basically flipping one bit at a time under the condition that I remain  a satisfying assignment at all times. And notice that without this condition the problem is trivial.,46
47,639.26,654.68,So you can basically just flip the bits however you like and reach S from T or T from S. But once  you have this constraint of you should remain a satisfying assignment the problem becomes way more,47
48,654.68,671.44,"interesting. And you can think of this problem again as walking into solution space of the given  formula of all the satisfying assignment of the formula. All right, so that's the sad reconfiguration",48
49,671.44,685.52,problem. Let's look at another example. Graph coloring. We all know it. We all love it.  You're given a graph and some integer K and you are asked whether you can properly,49
50,685.52,697.42,"k color the graph G. And we know again that this is NP complete for k greater than or equal to 3.  How do you transform that into a reconfiguration problem? Well, now you're given a graph. You're given",50
51,697.42,711.72,two colorings of the graph alpha and beta. And the question is can you recolor alpha to get the  to beta. But you need to recolor one vertex at a time and you need to remain a proper k coloring,51
52,711.72,725.44,throughout. Same idea again leads us to this notion of the reconfiguration space where we are  looking at the k colorings of the graph and how they are connected under this adjacent,52
53,725.44,740.42,cd relation that we define which is a single vertex recall. The final example that I will mention  which will be basically what we will focus on in the rest of the talk is token placement I call,53
54,740.42,751.12,it but as you will all guess this is the famous independent set problem. But we will look at it as  a token placement problem because it will be more useful for the rest of the talk. So you're given a,54
55,751.12,763.4,graph G and an integer K and the question is can you place k tokens on your graph k black tokens  so that no two of these tokens share an edge. And of course we all know that this is an NP complete,55
56,763.4,777.48,"problem. So how can you transform this problem into a reconfiguration problem? Again, now we're  given a graph two independent sets of the graph each of size k and the question is can I go from one",56
57,777.48,791.58,independent set to the other under what rule. So here defining the rule for independent set how  can I go between consecutive independent sets becomes a little bit less obvious and there are two,57
58,791.58,805.5,main main strategies that people have attempted. So the first rule is what we call token jumping.  So you are basically allowed to take any token on your graph and jump it to any other vertex on the,58
59,805.5,819.84,graph assuming that it doesn't have a token and that you maintain an independent set at all times.  So for example in this example that I have here it would be perfectly okay to take this token here,59
60,819.84,836.58,and jump it to this vertex here. Or I could also take this token here and jump it to  this vertex here. So that no actually that would violate the independence. So you can jump to any,60
61,836.58,849.56,other vertex as long as you maintain independence and we call that the token jumping rule.  The other rule is basically token sliding. So in this case we only allow a token to slide along edges,61
62,849.56,865.56,of the graph. So a token can only move to adjacent vertex assuming of course this does not violate  independence. So now we have two different reconfiguration graphs we can think about. We can think,62
63,865.56,877.74,about the reconfiguration graph under the token jumping adjacency and we can think about the reconfiguration  graph under the token sliding adjacency. And we're going to talk about these two different problems,63
64,877.74,889.3,because they do actually behave quite differently and they produce quite interesting results.  Like the difference between the two we don't fully understand yet but we kind of know that token,64
65,889.3,904.58,sliding can be harder than token jumping but there's still a lot of questions to be answered.  All right so some of you might be asking why do we care about studying such problems.,65
66,904.58,918.22,There's a lot of motivations out there. I mean as sometimes I would say you don't need motivation.  They're interesting. There's a lot of open questions that we need to answer but you can also,66
67,918.22,929.64,think about reconfiguration problems as another way of modeling real world algorithmic problems  because you usually never start from scratch. When you're trying to solve real world problems,67
68,929.64,942.64,you usually start from something and you're trying to prove it or make it better or change it to  something more appropriate. Another very good application of studying these problems is that,68
69,942.64,954.54,"they give you a better understanding of solution spaces which can be very important for other areas  as well and they have been used in statistical physics, quantum computing, and complexity theory,",69
70,954.54,965.26,"combinatorics, and robotics and hopefully many more applications to come. But what I would tell you  is that there are so many very interesting problems that are so easy to start thinking about",70
71,965.26,981.14,without having too much background which is which is why I think this is a very nice area to  start working on at any level in your research career. All right so I'll take a break here and,71
72,981.14,993.7,"take questions if there are any and then we will dive into the token jumping and token  sliding problems, what we know about them in terms of classical complexity and what was basically",72
73,993.7,1005.62,the starting point for the project that led us to this paper. Any questions at this point?,73
74,1005.62,1018.3,I apologize for the small context which I am interrupting here so this is just to announce for the  PC301 workshop that will be happening in December end and this will be slightly different from,74
75,1018.3,1032.56,the previous two workshops. First major difference this will be online. Second is some advanced  topics we'll be discussing. So anyone who intends to explore somewhat more complex topics in,75
76,1032.56,1045.1,parametrize algorithms is invited to have a check. We can look at the website that has been shared  on the chat and if you wish you can register simply by filling a form that is linked at the,76
77,1045.1,1063.08,"bottom of the webpage. So just to inform you all about it and sorry for the interruption  of the system now. All right. All right so let's start talking about token jumping, token sliding and",77
78,1063.08,1075.48,a little bit about classical complexity. I know everybody here knows about P and NP so I'm not  going to talk about this. Some of you might not be familiar with the PSPACE class so just a quick,78
79,1075.48,1088.14,note that's as much as you will need to know for this talk is that PSPACE is the set of all decision  problems that can be solved using a polynomial amount of space. And the reason why I mentioned,79
80,1088.14,1102.82,this class is because many many many many reconfiguration problem actually are PSPACE complete.  Okay and so so what we know the standard inclusion is we know that P is contained in NP which is,80
81,1102.82,1117.4,contained in PSPACE but a very useful thing about PSPACE is that savage proof that it's equal to  NP space. So polynomial space and non deterministic polynomial space are the same class. Basically and,81
82,1117.4,1129.46,that's extremely useful when you start to think about reconfiguration problems because if you think  about reconfiguration problem where you're given some state and you want to reach the other one.,82
83,1129.46,1144.26,So basically you can solve that easily in non deterministic polynomial space which basically  implies that they are NP space but actually you can show a lot more than that you can show that,83
84,1144.26,1158.26,many really many reconfiguration problems are actually PSPACE complete which is not surprising  right the fact that many of these reconfiguration problems are PSPACE complete is not very surprising.,84
85,1158.26,1170.32,Right and and them not being in NP is because they don't always have polynomial size certificates  which also makes sense because sometimes the number of steps that you need to take to go from one,85
86,1170.32,1182.44,configuration to the other might very well be exponential in the graph size. But there are also  some extremely surprising results and these are some of the results some of my favorite results in,86
87,1182.44,1198.08,the area. So for example you all know that coloring is NP complete even for k equals 3.  However it turns out that if you try to solve the recoloring problem for k equals 3 it's actually,87
88,1198.08,1210.96,polynomial time-solvable. So if I give you two three colorings of a graph and I ask you is there a  path between them that recolors one vertex at a time and never is and is always a valid three,88
89,1210.96,1225.58,coloring then this problem can be solved in polynomial time and the recoloring problem only  becomes PSPACE complete for k equals 4 and more. Right so so that's the first surprising result.,89
90,1225.58,1237.74,Another very surprising result is that as as your all FPT experts here I know that you're  often familiar with the fact that usually when we study problems on graphs of bounded bucket with,90
91,1237.74,1251.32,path with tree width they tend to become easier. It turns out that that's not really the case  for reconfiguration problems at least for token sliding and jumping which is the two problems,91
92,1251.32,1263.76,that are related to independent set. It turns out that those two problems it remain PSPACE complete  even if you have a graph of constant tree width or path width or even bucket width. So a very very,92
93,1263.76,1274.4,simple graph structure still the problem remains hard. All right and finally the last,93
94,1274.4,1289.0,theorem that I also like a lot shows you basically that sliding and jumping behave differently  and it was shown that if you restrict yourself to bipartite graphs where we know that max and,94
95,1289.0,1305.9,independent set can be solved in polynomial time if you restrict yourself to those graphs it turns  out that token jumping is NP complete whereas token sliding is PSPACE complete which is a,95
96,1305.9,1323.26,strange difference between the behavior of those two problems.  All right so in fact we know a lot more about token sliding and token jumping these,96
97,1323.26,1335.9,problems have been at the heart of the area of combinatorial reconfiguration they have been  studied so much and we know so much about them at least in terms of standard or classical complexity.,97
98,1335.9,1349.74,So some of the important results for our paper that we're going to focus on  is this result so that's going to be the starting point of the results that we will discuss,98
99,1349.74,1361.88,next when we move to parametrize complexity. So the fact that token sliding and token jumping  are PSPACE complete and then NP complete respectively on bipartite graphs was the starting point,99
100,1361.88,1373.64,of our next paper but there are some very interesting results here that are also worth mentioning.  So for example for even whole figure half we know how to solve token jumping in polynomial time,100
101,1373.64,1385.36,but the complexity of independent set even remains open on this class of graphs  and the complexity of token sliding also remains open so we don't know how to check if given,101
102,1385.36,1398.86,two independent sets I can slide one to the other. Can you answer that question in polynomial  time for even whole free graphs? For split graphs and chordal graphs they also behave,102
103,1398.86,1410.38,extremely differently token sliding and token jumping right so they are token sliding is  PSPACE complete on split graphs and chordal graphs while token jumping is polynomial time,103
104,1410.38,1430.46,and that is some of the reasons why we feel that token sliding is harder usually than token jumping  but it's not always the case. All right so that's it for classical complexity.,104
105,1430.46,1444.39,So now let's move on to parametrize complexity and let's basically think about how you can  parametrize those two problems token jumping and token sliding. So the obvious parameter would be,105
106,1444.39,1455.07,the number of tokens. So one of the obvious parameters would be the number of tokens.  So and we're going to denote that by K. Another parameter would be the length of the sequence,106
107,1455.07,1466.75,like how many steps does it take to go from one independent set to the other.  You can also obviously parametrize by tree width or path width or any combination of the above.,107
108,1466.75,1480.45,When we started working on this problem our initial aim was to basically study the  parametrize complexity of token sliding and token jumping on bipartite graphs using the parameter K,108
109,1480.45,1493.69,number of tokens. Right because remember we saw that token sliding is PSPACE complete on  bipartite graphs and token jumping is NP. So you were interested to see if basically this is going,109
110,1493.69,1506.15,"to give us W1 hardness for token sliding and FPTNES for token jumping.  All right, at least that that was the initial hope. That's why we started working on this project.",110
111,1506.15,1522.35,We weren't able to answer the two questions. So we were able to answer one side of the question  which is we were able to show that on bipartite graphs token sliding is in fact W1 hardness.,111
112,1522.35,1537.0300000000002,So token sliding parametrize by the number of tokens on bipartite graphs is W1 hard.  We were not able to answer the question for token jumping. So that is still an open question.,112
113,1537.0300000000002,1549.73,So having answered that question and failed on the next question we started thinking about ways  to basically simplify a little bit some of these questions. So the next thing we asked ourselves,113
114,1549.73,1563.79,so there are two directions where you can try and simplify. So the next thing we asked  ourselves was okay so from bipartite graphs how can I go to other classes of graphs,114
115,1563.79,1582.53,and see where token jumping becomes hard or easy. And it turned out that if you basically exclude  only C4 from your graph. And so because in bipartite graphs you're excluding all odd cycles.,115
116,1582.53,1594.37,So we started thinking about what kinds of cycles affect the behavior of those problems.  So the first question was what about C4 free graphs and it turned out that both problems remained,116
117,1594.37,1614.59,W1 hard on C4 free graphs. Now if you exclude C3 and C4 it turns out that token jumping becomes  FPT has an order K squared kernel but for token sliding we were not able to determine the complexity.,117
118,1614.59,1633.51,Now if you go to the other side of that so what if we enforce both bipartite  and C4 free NIS. So in that case we were able to show that both problems became FPT.,118
119,1633.51,1647.49,Okay and basically the bipartite bounded degree graphs was just a stepping stone to get to the  bipartite C4 free graph result. So let me let me repeat that maybe slightly more clearly. So after,119
120,1647.49,1659.37,basically answering the first question which was bipartite graphs we were able to show that token  sliding was W1 hard but we were not able to determine the complexity of token jumping. So then we,120
121,1659.37,1678.19,went to C4 free graphs and we were able to show that both problems are actually W1 hard. Then if we  added one more constraint which was C3 C4 free graphs we got FPT NIS for token jumping but it,121
122,1678.19,1688.23,side of the spectrum. So if we keep bipartite and enforce the C4 free NIS we get FPT for both problems.,122
123,1688.23,1700.05,And as a side note this blue result is not part of our paper this was known prior to our paper.,123
124,1700.05,1718.85,So any questions about the results?,124
125,1718.85,1729.47,"No questions. All right, cool. So lots of open problems. The first and obvious one is",125
126,1729.47,1742.85,"what is the pattern is a token jumping FPT that I'm trying to buy K on bipartite graphs. And that's  really, I mean that was the initial question that we set out to answer and couldn't. So that remains",126
127,1742.85,1753.19,open. And it's so I will not be going over the hardness reduction for token sliding on bipartite,127
128,1753.19,1767.55,graphs because it's quite technical. I don't feel a talk is the right place to go over it. But  if you go over the reduction you will see that that it's the two problems really behave differently,128
129,1767.55,1780.89,and there that doesn't seem to be a chance to basically make the same type of reduction work for  token jumping. So the second interesting open question is how about token jumping parameterized,129
130,1780.89,1793.35,by K on triangle free graphs? That's basically even more general than question one.  Right? So so and the reason why I mentioned this question separately is because almost every reduction,130
131,1793.35,1807.45,that I know of includes large clicks. So you need to use large clicks in your reductions. So how about  if we don't allow trying those and large clicks? So can we can we can we then say something about,131
132,1807.45,1821.77,the problem? So that's for token jumping. Now when when you go to token sliding.  So so the open problem is what happens for token sliding on graphs of girth at least five. So if,132
133,1821.77,1840.03,they are C3 C4 free or you can even make that a bit weaker and ask for any girth of at least P  for some constant P. And for all of these questions of course polynomial kernels would be interesting,133
134,1840.03,1856.23,because in our case we do get polynomial kernels for the FB.  And the polynomials are not great but polynomial regardless.,134
135,1856.23,1870.69,All right. So in the rest of the talk I will try to cover some of the technical stuff and as promised  I will try to keep it as light as possible so that I can give you some of a lot of the intuition and,135
136,1870.69,1884.43,techniques that are used in this paper and that are generally used when dealing with the reconfiguration  problems. So the first result that we will go over is this W hardness on C4 free graphs.,136
137,1884.43,1899.71,Right? For both token sliding and token jumping. It's the same reduction and and you will get both  results because we will be using maximum independent sets. So if you're trying to basically,137
138,1899.71,1910.91,do token sliding from one maximum independent set to the other or token jumping these two rules  become equivalent. Jumping becomes equivalent to sliding. So when you're dealing with maximum,138
139,1910.91,1921.93,independent sets these two basically rules are the same and that's what we're going to do.  But what we're going to prove actually is a stronger theorem. What we're going to prove is the,139
140,1921.93,1940.55,"following theorem. If you take any p greater than or equal to 4 then both problems are W hard  on C4, C5 dot dot dot up to Cp free graphs which implies of course C4 free graphs.",140
141,1940.55,1962.99,But you can basically exclude any cycles from C4 up to Cp for constant P and the problems will  remain W1 hard. So how do we prove this result? In fact we use a known reduction from a problem known,141
142,1962.99,1980.05,as grid tiling which is a W1 hard problem and grid tiling is reduced to the independent set problem  on C4 up to Cp free graphs. And that reduction was used to show that independent set remains,142
143,1980.05,1996.21,W1 hard if you exclude C4 up to Cp for any constant P. But what is interesting and useful in that  reduction is the graph that is obtained from the reduction. So the graph that is obtained from,143
144,1996.21,2011.57,the reduction has three properties that are going to be useful to us. The first property is that  you can partition the graph into basically 8k squared into p plus 1 clicks. So you have a bunch,144
145,2011.57,2025.53,of clicks each of size n and all of the edges basically are between the clicks.  But that's it that's it that's the whole of the graph. It's a bunch of clicks and edges between them.,145
146,2025.53,2042.37,Of course the more important property as well here is that this graph is going to be C4 up to  Cp free. It will not have any of those cycles as an induced sub graph. And it's an equivalent,146
147,2042.37,2058.35,instance to the grid tiling instance. And that basically gives you a W1 hardness of independent set  on this class of graphs. So notice in this case that an independent set of size 8k squared into,147
148,2058.35,2069.01,"p plus 1 will have to be a maximum independent set because that's how many clicks we get in the  resulting graph. And that's basically the sizes that we will be working with, more or less up to",148
149,2069.01,2087.29,some modifications. But this will allow us to basically conclude that both sliding and jumping  are hard on this class of graphs. So how do we use this for showing hardness of token sliding,149
150,2087.29,2099.77,and token jumping? And let's focus on token sliding for now because it's going to be the same anyway.  So we have those clicks and some edges that go between the clicks. So the first attempt,150
151,2099.77,2113.15,would be as follows. We will add a universal vertex to each one of the clicks and we will call this  the starting set or the starting independent set. And then we add another universal vertex to each,151
152,2113.15,2128.27,one of the clicks and call this the target independent set. And now basically we have our instance  of token sliding. We want to slide everybody in s down to t. So notice that this is useful,152
153,2128.27,2142.65,"because we don't introduce any of the forbidden cycles. So we are still fine. And if we could  guarantee that all of the tokens will be on the on the clicks simultaneously, then this will",153
154,2142.65,2156.93,"imply an independent set in the original graph, which concludes our proof. But unfortunately in  this case, we definitely cannot conclude that because each rent token can slide independently",154
155,2156.93,2172.15,"here and then here and then the next one can follow, etc, etc, etc. So you need some way of  forbidding these tokens to behave freely. We want to make sure that they will all be",155
156,2172.15,2184.89,"inside the clicks simultaneously and we will be done. And notice that we're going to have 8K  squared and 2p plus 1 tokens, right? 1 for each click and 2 universal vertices for each click.",156
157,2184.89,2199.95,"So how do we fix this simultaneously issue? Well, here's how we can do it. So instead  of simply adding universal vertices, we're also going to add an edge between every two universal",157
158,2199.95,2214.49,"vertices on a click. And then we're going to add something that we call a switch. And in this case,  it's a simple edge and the red token here needs to go to the blue position. Right? So now we have one",158
159,2214.49,2225.93,extra token inside our graph. But now notice what happens. If any red token wants to come to the blue,159
160,2225.93,2239.45,"position, then this red token needs to be moved to this position before. And if you move that token  up to the blue position, then you can no longer have any of the red tokens on the universal vertices,",160
161,2239.45,2252.39,which means that they will all have to be simultaneously inside the clicks.  And now we get the behavior that we want. So now we can guarantee that if there is a sequence that,161
162,2252.39,2265.99,"takes the red tokens to the blue position, then somewhere along that sequence, the tokens are all  going to be within the clicks. Unfortunately, what happened here is we might have introduced some of",162
163,2265.99,2279.41,"the forbidden cycles. We can no longer guarantee that this is C4 up to CP3.  So what you can do in this case to solve this problem, and I'm not going to go into the details,",163
164,2279.41,2291.87,"but the intuition should be pretty clear, is that you can subdivide those edges, make them long  enough so that you don't introduce any forbidden cycles and add appropriate tokens inside of them",164
165,2291.87,2311.43,"to get the same behavior. Because notice that the number of such edges is bounded by a function of  K, by a function of yes, K and P. So you can make these edges subdivide them as many times as needed,",165
166,2311.43,2322.63,"add as many tokens as needed to maintain all the properties that we need, and to maintain that  we're going from one maximum independent set to the other, which will give you W1 hardness",166
167,2322.63,2347.31,"for both token sliding as well as token jumping. All right, questions?",167
168,2347.31,2361.15,"No questions? All right, so let's keep going.  So now I'm going to talk about some positive result. So the result that I'm going to talk about",168
169,2361.15,2371.71,"is this one here. So I'm going to show you that on C3, C4 free rafts, token jumping is actually",169
170,2371.71,2386.73,"FBT and has a quadratic kernel, but again, what we will show is a stronger result.  So what we will show is the following theorem. What we will show",170
171,2386.73,2399.83,"is can be summarized as follows. So if you look at any graph, or at any instance of the token  jumping problem. So remember, an instance of token jumping has the input graph, the starting set,",171
172,2399.83,2416.93,"the target set, and K as the number of tokens. So let me try and draw something here. So if you look  at your graph, you can kind of decompose it into something which is more or less as follows.",172
173,2416.93,2432.91,"So you have S, you have T, the intersection need not be empty,  and then you have the neighborhood of S union T, and then you have the rest of the graph.",173
174,2432.91,2449.13,"So we're going to call the rest of the graph H, and we're going to call the close neighborhood  of S union T, or if you will, this yellow part here, we call that J. So we can think of our problem",174
175,2449.13,2464.21,"of our graph as being decomposed into those two areas, H and J.  Okay, so the theorem states the following. If H is epsilon sparse, where epsilon sparse",175
176,2464.21,2479.8300000000004,"means that the number of edges is at most n squared minus epsilon, positive epsilon.  So if H is epsilon sparse, and J is C3C4 free, then the problem admits a kernel",176
177,2479.8300000000004,2498.49,"which is that big, k squared plus k into 1 plus 1 over epsilon. So notice now that we only need  that H is epsilon sparse, and we only require C3C4 freeness inside J, which is S union T close",177
178,2498.49,2515.93,"neighborhood, close neighborhood of S union T. And this idea is actually is not a new idea.  So this idea is, okay, I had the drawing here, I should have used it. So the idea comes from",178
179,2515.93,2529.49,"from has been used before, and it's what we call the buffer technique for the token jumping problem.  And the solution behind the buffer technique is very simple. So if I have S union T, but somewhere",179
180,2529.49,2542.63,"in the graph, which is not in the close neighborhood of S union T, I have a case-sized  independent set, then you are done. Right? If I have a case-sized independent set in H,",180
181,2542.63,2554.23,"then you're done. You can basically take all the tokens on S, jump them into those  independent yellow vertices in H, and then jump them back to T.",181
182,2554.23,2565.97,"So in some sense, when H has a large independent set, that's the easy case.  Right? You're done. If you can find a large enough independent set in H, you're done.",182
183,2565.97,2580.67,"And that's what we call the buffer technique, because it's been also used to show that the problem  is FBT on planar graphs, for example, or K3J free graphs. So graphs without large bi-clips.",183
184,2580.67,2593.89,"So it's a well-known technique. All right.  So what do we show? So we're going to use the buffer technique, and we're going to combine it",184
185,2593.89,2614.29,"with something else. So we show that you have a yes instance, whenever one of those two conditions  is true. The first condition is that H is epsilon sparse and contains more than this many vertices.",185
186,2614.29,2626.53,"And this is relatively easy. When you contain this many vertices and you are epsilon sparse,  then you will have a case size independent set. And that's basically the buffer technique.",186
187,2626.53,2639.37,"When H is epsilon sparse and has that many vertices or more, then H is guaranteed to have an  independent set of size K, and you're done. So now you are stuck with what happens inside J,",187
188,2639.37,2652.87,"or the closed neighborhood of S-Union T. And it turns out there, if you have C3C for  freeness, the only thing you need on top of that to guarantee a yes instance is a vertex of",188
189,2652.87,2664.01,"degree at least 3K. So if you have C3C for freeness inside J, and the vertex of degree 3K, then again,",189
190,2664.01,2683.11,"you get a yes instance. So let me prove those two statements separately, because they will be  basically what we need for the final theorem. So the first lemma, as I told you, if H is",190
191,2683.11,2696.21,"epsilon sparse and has more than this many vertices, then it's a yes instance because you have a  case size independent set in H. The idea of this proof is simple. It's a counting argument.",191
192,2696.21,2707.99,And what you need to do basically first is to show that H must contain a vertex of degree  less than and over K. And then basically you apply the standard greedy packing algorithm for,192
193,2707.99,2720.05,"constructing an independent set of size K. And the reason you show that the way you show that H  has a vertex of degree less than and over K is, again, standard counting argument and the",193
194,2720.05,2734.87,"handshaking lemma. So if the minimum degree in H was at least n over K, then the number of edges  would be at least n squared over 2K, which will only happen in an epsilon sparse graph when n is",194
195,2734.87,2745.07,less than or equal 2K to the power 1 over S. And the rest of the proof is basically an induction on K.,195
196,2745.07,2760.63,"Okay, and so that shows you that when you do have an epsilon sparse graph with more than  this many vertices, then we have a yes instance. All right, so how about the second part of the claim?",196
197,2760.63,2775.8300000000004,"So now what happens if we have a C3 C4 free J that has a vertex of degree 3K? Well, let's see what  happens. So if we have a vertex of degree 3K and I'm going to circle it here in yellow.",197
198,2775.8300000000004,2790.53,"So how can the neighborhood of that vertex look? Well, we know that J is C3 free. So the blue edges  cannot exist, which means that the neighborhood of the yellow vertex is an independent set inside J.",198
199,2790.53,2808.61,"Not in the whole graph. Well, in fact, in the whole well known because we're only talking about J as  a sub graph. Right, so the blue edges cannot exist because otherwise we will get a C3 inside J.",199
200,2808.61,2823.95,"All right, so now let's look at the other vertices in S union T. The other, the second observation  that you need is that any vertex other than the yellow vertex can have at most one neighbor",200
201,2823.95,2841.65,"in common with the yellow vertex. Because if you do have two neighbors in common, then you will  get a C4. So now what happens if we have three K vertices in the neighborhood of the yellow vertex?",201
202,2841.65,2860.39,"Well, at most two K of them can be connected to some vertex in S union T and you will get at least  K of them, some K of them here that are only connected to the yellow vertex. And so now basically,",202
